# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:20:18+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/manybhfar_1bh_p0.75_nos_32x33x41.par"
#
# ADMBASE::METRIC x (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	0 20 20	0	4.9375 5 5	1.38398179027513 0 0 1.38398179027513 0 1.38398179027513
0	0	0 0 0	1 20 20	0	4.940625 5 5	1.38393625667655 0 0 1.38393625667655 0 1.38393625667655
0	0	0 0 0	2 20 20	0	4.94375 5 5	1.38389066541311 0 0 1.38389066541311 0 1.38389066541311
0	0	0 0 0	3 20 20	0	4.946875 5 5	1.38384501655178 0 0 1.38384501655178 0 1.38384501655178
0	0	0 0 0	4 20 20	0	4.95 5 5	1.3837993101596 0 0 1.3837993101596 0 1.3837993101596
0	0	0 0 0	5 20 20	0	4.953125 5 5	1.38375354630362 0 0 1.38375354630362 0 1.38375354630362
0	0	0 0 0	6 20 20	0	4.95625 5 5	1.38370772505096 0 0 1.38370772505096 0 1.38370772505096
0	0	0 0 0	7 20 20	0	4.959375 5 5	1.38366184646877 0 0 1.38366184646877 0 1.38366184646877
0	0	0 0 0	8 20 20	0	4.9625 5 5	1.38361591062423 0 0 1.38361591062423 0 1.38361591062423
0	0	0 0 0	9 20 20	0	4.965625 5 5	1.38356991758459 0 0 1.38356991758459 0 1.38356991758459
0	0	0 0 0	10 20 20	0	4.96875 5 5	1.38352386741713 0 0 1.38352386741713 0 1.38352386741713
0	0	0 0 0	11 20 20	0	4.971875 5 5	1.38347776018915 0 0 1.38347776018915 0 1.38347776018915
0	0	0 0 0	12 20 20	0	4.975 5 5	1.38343159596802 0 0 1.38343159596802 0 1.38343159596802
0	0	0 0 0	13 20 20	0	4.978125 5 5	1.38338537482113 0 0 1.38338537482113 0 1.38338537482113
0	0	0 0 0	14 20 20	0	4.98125 5 5	1.38333909681593 0 0 1.38333909681593 0 1.38333909681593
0	0	0 0 0	15 20 20	0	4.984375 5 5	1.38329276201989 0 0 1.38329276201989 0 1.38329276201989
0	0	0 0 0	16 20 20	0	4.9875 5 5	1.38324637050054 0 0 1.38324637050054 0 1.38324637050054
0	0	0 0 0	17 20 20	0	4.990625 5 5	1.38319992232543 0 0 1.38319992232543 0 1.38319992232543
0	0	0 0 0	18 20 20	0	4.99375 5 5	1.38315341756217 0 0 1.38315341756217 0 1.38315341756217
0	0	0 0 0	19 20 20	0	4.996875 5 5	1.38310685627838 0 0 1.38310685627838 0 1.38310685627838
0	0	0 0 0	20 20 20	0	5 5 5	1.38306023854175 0 0 1.38306023854175 0 1.38306023854175
0	0	0 0 0	21 20 20	0	5.003125 5 5	1.38301356442 0 0 1.38301356442 0 1.38301356442
0	0	0 0 0	22 20 20	0	5.00625 5 5	1.38296683398088 0 0 1.38296683398088 0 1.38296683398088
0	0	0 0 0	23 20 20	0	5.009375 5 5	1.38292004729218 0 0 1.38292004729218 0 1.38292004729218
0	0	0 0 0	24 20 20	0	5.0125 5 5	1.38287320442174 0 0 1.38287320442174 0 1.38287320442174
0	0	0 0 0	25 20 20	0	5.015625 5 5	1.38282630543741 0 0 1.38282630543741 0 1.38282630543741
0	0	0 0 0	26 20 20	0	5.01875 5 5	1.38277935040712 0 0 1.38277935040712 0 1.38277935040712
0	0	0 0 0	27 20 20	0	5.021875 5 5	1.38273233939879 0 0 1.38273233939879 0 1.38273233939879
0	0	0 0 0	28 20 20	0	5.025 5 5	1.38268527248043 0 0 1.38268527248043 0 1.38268527248043
0	0	0 0 0	29 20 20	0	5.028125 5 5	1.38263814972003 0 0 1.38263814972003 0 1.38263814972003
0	0	0 0 0	30 20 20	0	5.03125 5 5	1.38259097118566 0 0 1.38259097118566 0 1.38259097118566
0	0	0 0 0	31 20 20	0	5.034375 5 5	1.38254373694541 0 0 1.38254373694541 0 1.38254373694541
0	0	0 0 0	32 20 20	0	5.0375 5 5	1.38249644706741 0 0 1.38249644706741 0 1.38249644706741
0	0	0 0 0	33 20 20	0	5.040625 5 5	1.38244910161981 0 0 1.38244910161981 0 1.38244910161981
0	0	0 0 0	34 20 20	0	5.04375 5 5	1.38240170067083 0 0 1.38240170067083 0 1.38240170067083
0	0	0 0 0	35 20 20	0	5.046875 5 5	1.38235424428868 0 0 1.38235424428868 0 1.38235424428868
0	0	0 0 0	36 20 20	0	5.05 5 5	1.38230673254165 0 0 1.38230673254165 0 1.38230673254165
0	0	0 0 0	37 20 20	0	5.053125 5 5	1.38225916549803 0 0 1.38225916549803 0 1.38225916549803
0	0	0 0 0	38 20 20	0	5.05625 5 5	1.38221154322618 0 0 1.38221154322618 0 1.38221154322618
0	0	0 0 0	39 20 20	0	5.059375 5 5	1.38216386579445 0 0 1.38216386579445 0 1.38216386579445
0	0	0 0 0	40 20 20	0	5.0625 5 5	1.38211613327126 0 0 1.38211613327126 0 1.38211613327126


