# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 15:10:01+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1_less_lorene/1bh_p0.1_dx0.0015625_near/manybhnear_1bh_p0.1_dx0.0015625_near_4x5x9.par"
#
# ADMBASE::CURV x (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	23 20 20	0	3.0046875 0.5 0.5	0.00068152131228501 0.0726956066437317 0.0726956066437317 -0.000340760656142505 0.000340730709107525 -0.000340760656142505
0	0	0 0 0	24 20 20	0	3.00625 0.5 0.5	0.000908692406682328 0.0726953925345852 0.0726953925345852 -0.000454346203341164 0.000454275222837596 -0.000454346203341164
0	0	0 0 0	25 20 20	0	3.0078125 0.5 0.5	0.00113586120310133 0.072695116998485 0.072695116998485 -0.000567930601550664 0.000567791980461684 -0.000567930601550664
0	0	0 0 0	26 20 20	0	3.009375 0.5 0.5	0.00136302712210974 0.0726947798458536 0.0726947798458536 -0.000681513561054871 0.000681274050646441 -0.000681513561054871
0	0	0 0 0	27 20 20	0	3.0109375 0.5 0.5	0.00159018958098662 0.0726943808451037 0.0726943808451037 -0.000795094790493309 0.000794714507184207 -0.000795094790493309
0	0	0 0 0	28 20 20	0	3.0125 0.5 0.5	0.00181734799306775 0.072693919722709 0.072693919722709 -0.000908673996533875 0.000908106430015116 -0.000908673996533875
0	0	0 0 0	29 20 20	0	3.0140625 0.5 0.5	0.00204450176709248 0.0726933961632878 0.0726933961632878 -0.00102225088354624 0.00102144290624735 -0.00102225088354624
0	0	0 0 0	30 20 20	0	3.015625 0.5 0.5	0.00227165030655312 0.0726928098096998 0.0726928098096998 -0.00113582515327656 0.0011347170311758 -0.00113582515327656
0	0	0 0 0	31 20 20	0	3.0171875 0.5 0.5	0.00249879300904595 0.0726921602631552 0.0726921602631552 -0.00124939650452297 0.00124792190929812 -0.00124939650452297
0	0	0 0 0	32 20 20	0	3.01875 0.5 0.5	0.0027259292656251 0.0726914470833368 0.0726914470833368 -0.00136296463281255 0.0013610506553285 -0.00136296463281255
0	0	0 0 0	33 20 20	0	3.0203125 0.5 0.5	0.00295305846015925 0.0726906697885348 0.0726906697885348 -0.00147652923007963 0.00147409639520863 -0.00147652923007963
0	0	0 0 0	34 20 20	0	3.021875 0.5 0.5	0.00318017996869099 0.0726898278557938 0.0726898278557938 -0.0015900899843455 0.00158705226711547 -0.0015900899843455
0	0	0 0 0	35 20 20	0	3.0234375 0.5 0.5	0.00340729315880029 0.0726889207210729 0.0726889207210729 -0.00170364657940015 0.00169991142246602 -0.00170364657940015
0	0	0 0 0	36 20 20	0	3.025 0.5 0.5	0.00363439738897087 0.0726879477794177 0.0726879477794177 -0.00181719869448544 0.00181266702691814 -0.00181719869448544
0	0	0 0 0	37 20 20	0	3.0265625 0.5 0.5	0.00386149200796082 0.0726869083851453 0.0726869083851453 -0.00193074600398041 0.00192531226136776 -0.00193074600398041
0	0	0 0 0	38 20 20	0	3.028125 0.5 0.5	0.00408857635417735 0.0726858018520413 0.0726858018520413 -0.00204428817708867 0.00203784032294187 -0.00204428817708867
0	0	0 0 0	39 20 20	0	3.0296875 0.5 0.5	0.00431564975505565 0.0726846274535685 0.0726846274535685 -0.00215782487752782 0.00215024442598699 -0.00215782487752782
0	0	0 0 0	40 20 20	0	3.03125 0.5 0.5	0.00454271152644309 0.0726833844230895 0.0726833844230895 -0.00227135576322155 0.00226251780305337 -0.00227135576322155


