# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 27 2016 at 06:41:26+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/2bh_test/twopunmid_2bh_test_40.par"
#
# ADMBASE::LAPSE z (admbase-lapse)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:alp
0	0	0 0 0	640 4 0	0	0 0 -0.0125	1
0	0	0 0 0	640 4 1	0	0 0 -0.009375	1
0	0	0 0 0	640 4 2	0	0 0 -0.00625	1
0	0	0 0 0	640 4 3	0	0 0 -0.003125	1
0	0	0 0 0	640 4 4	0	0 0 0	1
0	0	0 0 0	640 4 5	0	0 0 0.003125	1
0	0	0 0 0	640 4 6	0	0 0 0.00625	1
0	0	0 0 0	640 4 7	0	0 0 0.009375	1
0	0	0 0 0	640 4 8	0	0 0 0.0125	1


