# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 27 2016 at 05:21:28+0000
# parameter filename: "twopunmid_2bh_test_20.par"
#
# ADMBASE::CURV y (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	640 0 4	0	0 -0.0125 0	0 -0.0339897823415555 0 0 0 0
0	0	0 0 0	640 1 4	0	0 -0.009375 0	0 -0.0339898754263495 0 0 0 0
0	0	0 0 0	640 2 4	0	0 -0.00625 0	0 -0.0339899419129915 0 0 0 0
0	0	0 0 0	640 3 4	0	0 -0.003125 0	0 -0.0339899818033403 0 0 0 0
0	0	0 0 0	640 4 4	0	0 0 0	0 -0.0339899950985013 0 0 0 0
0	0	0 0 0	640 5 4	0	0 0.003125 0	0 -0.0339899818033403 0 0 0 0
0	0	0 0 0	640 6 4	0	0 0.00625 0	0 -0.0339899419129915 0 0 0 0
0	0	0 0 0	640 7 4	0	0 0.009375 0	0 -0.0339898754263495 0 0 0 0
0	0	0 0 0	640 8 4	0	0 0.0125 0	0 -0.0339897823415555 0 0 0 0


